C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedRangeXYPlotTest.java,org.jfree.chart.plot,CombinedRangeXYPlotTest,157,9,0.05732484076433121
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedDomainXYPlotTest.java,org.jfree.chart.plot,CombinedDomainXYPlotTest,163,10,0.06134969325153374
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\BoxAndWhiskerRendererTest.java,org.jfree.chart.renderer.category,BoxAndWhiskerRendererTest,387,38,0.09819121447028424
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\axis\CategoryLabelPositionsTest.java,org.jfree.chart.axis,CategoryLabelPositionsTest,114,12,0.10526315789473684
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\axis\StandardTickUnitSourceTest.java,org.jfree.chart.axis,StandardTickUnitSourceTest,19,2,0.10526315789473684
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\urls\StandardXYURLGeneratorTest.java,org.jfree.chart.urls,StandardXYURLGeneratorTest,19,2,0.10526315789473684
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\swing\ChartPanelTest.java,org.jfree.chart.swing,ChartPanelTest,216,23,0.10648148148148148
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\axis\LogarithmicAxisTest.java,org.jfree.chart.axis,LogarithmicAxisTest,122,13,0.10655737704918032
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYStepRendererTest.java,org.jfree.chart.renderer.xy,XYStepRendererTest,110,12,0.10909090909090909
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\StackedXYAreaRendererTest.java,org.jfree.chart.renderer.xy,StackedXYAreaRendererTest,136,15,0.11029411764705882
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\labels\ItemLabelPositionTest.java,org.jfree.chart.labels,ItemLabelPositionTest,18,2,0.1111111111111111
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\StatisticalBarRendererTest.java,org.jfree.chart.renderer.category,StatisticalBarRendererTest,169,20,0.11834319526627218
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\data\statistics\RegressionTest.java,org.jfree.data.statistics,RegressionTest,134,16,0.11940298507462686
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGeneratorTest.java,org.jfree.chart.imagemap,DynamicDriveToolTipTagFragmentGeneratorTest,16,2,0.125
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\imagemap\OverLIBToolTipTagFragmentGeneratorTest.java,org.jfree.chart.imagemap,OverLIBToolTipTagFragmentGeneratorTest,16,2,0.125
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\internal\ArgsTest.java,org.jfree.chart.internal,ArgsTest,16,2,0.125
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\chart\internal\HashUtilsTest.java,org.jfree.chart.internal,HashUtilsTest,16,2,0.125
C:\Users\Aymen\IdeaProjects\TP13913\jfreechart-master\src\test\java\org\jfree\data\statistics\BoxAndWhiskerItemTest.java,org.jfree.data.statistics,BoxAndWhiskerItemTest,24,3,0.125
